#Table1
specobjid,redshift,plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
749923591046326272,0.01789778,666,52149,270,46.15541,89.9816,306.5034,184.7592
749937609819580416,0.0176428,666,52149,321,48.91881,109.4191,343.5617,155.9269
749996158813759488,0.04123919,666,52149,534,50.12107,39.82523,113.4494,132.9302
750024746116081664,0.0178122,666,52149,638,132.0547,63.95876,169.2926,254.7631
751034647781074944,0.01283949,667,52163,216,1389.691,3902.108,16548.14,6081.352
751085500193859584,0.01286314,667,52163,401,101.2632,91.96197,214.1108,104.1592
751129480658970624,0.01594187,667,52163,561,124.3489,85.57474,255.7248,300.8698
751141025531062272,0.01608731,667,52163,603,295.3614,258.3612,1040.686,607.0221
1473923695796840448,0.005701239,1309,52762,439,57.58485,175.0838,1039.214,423.887
1473938539203815424,0.03610696,1309,52762,493,1149.665,710.8599,2975.852,2133.057
1478411078097463296,0.011062,1313,52790,380,99.03506,57.94275,204.099,210.8851
1479447647046625280,0.02631989,1314,53050,55,19.41157,22.62053,62.63954,48.09674
1479510319209408512,0.04139066,1314,53050,283,71.68056,22.47028,116.4147,153.5428
1792534681560836096,0.02388919,1592,52990,371,35.53726,25.52647,71.53404,81.15689
1792554197892229120,0.01711837,1592,52990,442,71.22566,114.3835,345.9566,276.9063
1792555572281763840,0.0243076,1592,52990,447,50.58071,76.73728,323.3768,248.5654
1792566017642227712,0.05039271,1592,52990,485,85.07539,54.70678,156.6076,191.6503
1792567117153855488,0.02350282,1592,52990,489,80.14186,51.2449,119.0334,142.0237
1792572339834087424,0.02153513,1592,52990,508,322.9424,273.2791,1393.726,952.0886
1792577287636412416,0.02743455,1592,52990,526,123.2657,95.98196,295.9378,270.7057
1792586083729434624,0.02246832,1592,52990,558,41.67574,94.03584,314.4588,153.0956
1793635292717017088,0.04237509,1593,52991,279,82.61442,68.8055,156.0095,185.2645
1793675699769337856,0.02303885,1593,52991,426,51.85497,36.20171,125.0323,104.0426
1793692467321661440,0.04207806,1593,52991,487,192.1753,127.4379,467.8472,764.6808
